Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202511,0101210041,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, stallions",NMB,"15,000",1,"5,000",1,"20,000",2,Provisional
202511,0101210049,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"20,000",2,0,0,"20,000",2,Provisional
202511,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"11,026,593",59,"6,495,000",27,"17,521,593",86,Provisional
202511,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"2,340,734",16,"570,000",2,"2,910,734",18,Provisional
202511,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"800,312",12,0,0,"800,312",12,Provisional
202511,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"129,230",4,0,0,"129,230",4,Provisional
202511,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"116,012",5,0,0,"116,012",5,Provisional
202511,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"11,390",1,0,0,"11,390",1,Provisional
202511,0104100001,"Sheep; live, for breeding",NMB,"61,314",32,0,0,"61,314",32,Provisional
202511,0104200010,"Goats; live, for breeding",NMB,"1,025,020",518,0,0,"1,025,020",518,Provisional
202511,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"1,367,246","122,029",0,0,"1,367,246","122,029",Provisional
202511,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"4,449,175","112,393",0,0,"4,449,175","112,393",Provisional
202511,0106190019,"Mammals; live, dogs",NMB,"3,000",2,0,0,"3,000",2,Provisional
202511,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"3,740",7,0,0,"3,740",7,Provisional
202511,0201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"283,074","9,703",0,0,"283,074","9,703",Provisional
202511,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,432,693","64,068",0,0,"1,432,693","64,068",Provisional
202511,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"74,066,179","3,415,014",0,0,"74,066,179","3,415,014",Provisional
202511,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"480,113","39,234",0,0,"480,113","39,234",Provisional
202511,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"2,909,628","107,060",0,0,"2,909,628","107,060",Provisional
202511,0202100001,"Meat; of bovine animals, carcasses, frozen",KGM,44,13,0,0,44,13,Provisional
202511,0202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,"91,976","15,760",0,0,"91,976","15,760",Provisional
202511,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"834,382","169,839",0,0,"834,382","169,839",Provisional
202511,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"14,273,142","1,689,448",0,0,"14,273,142","1,689,448",Provisional
202511,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"4,608,299","1,750,935",0,0,"4,608,299","1,750,935",Provisional
202511,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"5,150,438","1,245,766",0,0,"5,150,438","1,245,766",Provisional
202511,0202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"493,247","109,566",0,0,"493,247","109,566",Provisional
202511,0202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"5,517,515","950,030",0,0,"5,517,515","950,030",Provisional
202511,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"145,054,538","12,189,967",0,0,"145,054,538","12,189,967",Provisional
202511,0202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"16,670,899","1,604,152",0,0,"16,670,899","1,604,152",Provisional
202511,0202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"80,459,547","6,037,600",0,0,"80,459,547","6,037,600",Provisional
202511,0202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"10,940,188","915,869",0,0,"10,940,188","915,869",Provisional
202511,0202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"671,238","94,017",0,0,"671,238","94,017",Provisional
202511,0203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"5,001",293,0,0,"5,001",293,Provisional
202511,0203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"10,478","1,685",0,0,"10,478","1,685",Provisional
202511,0203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"54,022","5,894","1,021",159,"55,043","6,054",Provisional
202511,0203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"180,838","19,014","312,001","35,009","492,839","54,023",Provisional
202511,0204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"64,934","3,769",0,0,"64,934","3,769",Provisional
202511,0204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"126,974","7,287",0,0,"126,974","7,287",Provisional
202511,0204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"37,823,817","1,684,205",0,0,"37,823,817","1,684,205",Provisional
202511,0204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"21,396,655","744,221",0,0,"21,396,655","744,221",Provisional
202511,0204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"32,303","1,099",0,0,"32,303","1,099",Provisional
202511,0204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"38,057","2,753",0,0,"38,057","2,753",Provisional
202511,0204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,941,59,0,0,941,59,Provisional
202511,0204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"27,212","2,161",0,0,"27,212","2,161",Provisional
202511,0204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"443,430","30,862",0,0,"443,430","30,862",Provisional
202511,0204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,465,158","106,328",0,0,"1,465,158","106,328",Provisional
202511,0204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"1,910,495","134,530",0,0,"1,910,495","134,530",Provisional
202511,0204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,"219,715","23,288",0,0,"219,715","23,288",Provisional
202511,0204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"967,786","119,056",0,0,"967,786","119,056",Provisional
202511,0204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"1,567,495","192,420",0,0,"1,567,495","192,420",Provisional
202511,0204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"1,238,955","147,120",0,0,"1,238,955","147,120",Provisional
202511,0204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"9,326","1,267",0,0,"9,326","1,267",Provisional
202511,0204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"13,236,747","1,445,463",0,0,"13,236,747","1,445,463",Provisional
202511,0204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"2,098,982","230,725",0,0,"2,098,982","230,725",Provisional
202511,0204410058,"Meat; of sheep, ram carcasses and half-carcasses, frozen",KGM,"228,597","27,582",0,0,"228,597","27,582",Provisional
202511,0204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"224,810,155","17,154,950",0,0,"224,810,155","17,154,950",Provisional
202511,0204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"23,163,262","2,614,302",0,0,"23,163,262","2,614,302",Provisional
202511,0204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"67,629,003","3,789,992",0,0,"67,629,003","3,789,992",Provisional
202511,0204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"3,710,309","292,256",0,0,"3,710,309","292,256",Provisional
202511,0204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"298,806","28,037",0,0,"298,806","28,037",Provisional
202511,0206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"261,588","9,577",0,0,"261,588","9,577",Provisional
202511,0206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"885,568","47,689",0,0,"885,568","47,689",Provisional
202511,0206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"3,648,699","417,776",0,0,"3,648,699","417,776",Provisional
202511,0206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,846,541","717,651",0,0,"1,846,541","717,651",Provisional
202511,0206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"948,679","201,951",0,0,"948,679","201,951",Provisional
202511,0206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"156,441","89,052",0,0,"156,441","89,052",Provisional
202511,0206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"74,775","4,752",0,0,"74,775","4,752",Provisional
202511,0206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"10,451,731","1,074,136",0,0,"10,451,731","1,074,136",Provisional
202511,0206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"43,375","1,800",0,0,"43,375","1,800",Provisional
202511,0206900001,"Offal, edible; of lamb, brains, frozen",KGM,"85,329","6,050",0,0,"85,329","6,050",Provisional
202511,0206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"550,786","106,773",0,0,"550,786","106,773",Provisional
202511,0206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"600,270","120,367",0,0,"600,270","120,367",Provisional
202511,0206900019,"Offal, edible; of lamb, livers, frozen",KGM,"2,008,984","694,214",0,0,"2,008,984","694,214",Provisional
202511,0206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"471,712","23,900",0,0,"471,712","23,900",Provisional
202511,0206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"580,766","66,765",0,0,"580,766","66,765",Provisional
202511,0206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"2,432,922","283,208",0,0,"2,432,922","283,208",Provisional
202511,0206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"396,639","70,531",0,0,"396,639","70,531",Provisional
202511,0206900051,"Offal, edible; of sheep (excluding lamb), kidneys, frozen",KGM,"7,567","1,260",0,0,"7,567","1,260",Provisional
202511,0206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"1,273,117","375,095",0,0,"1,273,117","375,095",Provisional
202511,0206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"152,227","22,489",0,0,"152,227","22,489",Provisional
202511,0206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"166,919","31,858",0,0,"166,919","31,858",Provisional
202511,0207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"34,232","5,139",0,0,"34,232","5,139",Provisional
202511,0207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"795,525","242,406",0,0,"795,525","242,406",Provisional
202511,0207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"729,807","81,400",0,0,"729,807","81,400",Provisional
202511,0207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,"1,614",246,0,0,"1,614",246,Provisional
202511,0207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"3,647,954","1,086,275",0,0,"3,647,954","1,086,275",Provisional
202511,0207240000,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",KGM,61,3,0,0,61,3,Provisional
202511,0207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"156,291","12,872",0,0,"156,291","12,872",Provisional
202511,0207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"7,582",685,999,181,"8,581",866,Provisional
202511,0207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"112,840","12,383",0,0,"112,840","12,383",Provisional
202511,0207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"2,040",103,0,0,"2,040",103,Provisional
202511,0208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"114,965","12,814",0,0,"114,965","12,814",Provisional
202511,0208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"16,455",66,0,0,"16,455",66,Provisional
202511,0208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"239,203","18,919",0,0,"239,203","18,919",Provisional
202511,0208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"6,597,489","191,348",0,0,"6,597,489","191,348",Provisional
202511,0208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"14,089,819","816,523",0,0,"14,089,819","816,523",Provisional
202511,0210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,"11,097",846,0,0,"11,097",846,Provisional
202511,0210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,0,0,"6,116",626,"6,116",626,Provisional
202511,0210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"35,930","2,511","96,082","5,770","132,012","8,281",Provisional
202511,0210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,"64,808","1,296",0,0,"64,808","1,296",Provisional
202511,0210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"31,615",703,0,0,"31,615",703,Provisional
202511,0210993029,"Meat and edible meat offal; of deer, venison, salted, in brine, dried or smoked",KGM,819,10,0,0,819,10,Provisional
202511,0210993050,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"546,008","6,379","28,469","1,066","574,477","7,445",Provisional
202511,0301910009,"Fish; live, trout, (oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), n.e.c. in item no. 0301.91.00.01",KGM,"7,149",390,0,0,"7,149",390,Provisional
202511,0301920000,"Fish; live, eels (anguilla spp.)",KGM,"46,433","4,288",0,0,"46,433","4,288",Provisional
202511,0302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"1,508,761","49,634",0,0,"1,508,761","49,634",Provisional
202511,0302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"6,410,826","197,843",0,0,"6,410,826","197,843",Provisional
202511,0302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,701,382","183,864",0,0,"5,701,382","183,864",Provisional
202511,0302230001,"Fish; fresh or chilled, sole (Solea spp.), whole",KGM,132,17,0,0,132,17,Provisional
202511,0302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"17,877","1,400",0,0,"17,877","1,400",Provisional
202511,0302290002,"Fish; fresh or chilled, flounder, whole",KGM,"60,790","3,108",0,0,"60,790","3,108",Provisional
202511,0302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"22,875","2,228",0,0,"22,875","2,228",Provisional
202511,0302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,941,91,0,0,941,91,Provisional
202511,0302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,"3,560",376,0,0,"3,560",376,Provisional
202511,0302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"31,166","2,700",0,0,"31,166","2,700",Provisional
202511,0302290041,"Fish; fresh or chilled, lemon sole, headed and gutted",KGM,558,77,0,0,558,77,Provisional
202511,0302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"236,822","14,837",0,0,"236,822","14,837",Provisional
202511,0302290073,"Fish; fresh or chilled, lemon sole, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,398,53,0,0,398,53,Provisional
202511,0302320001,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), whole",KGM,"2,228",124,0,0,"2,228",124,Provisional
202511,0302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"24,959","1,221",0,0,"24,959","1,221",Provisional
202511,0302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"33,028","1,293",0,0,"33,028","1,293",Provisional
202511,0302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"2,091",113,0,0,"2,091",113,Provisional
202511,0302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,638,71,0,0,638,71,Provisional
202511,0302440010,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), whole",KGM,348,43,0,0,348,43,Provisional
202511,0302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"4,257",266,0,0,"4,257",266,Provisional
202511,0302490010,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, whole",KGM,"3,822",327,0,0,"3,822",327,Provisional
202511,0302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"65,010","2,836",0,0,"65,010","2,836",Provisional
202511,0302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"4,056",454,0,0,"4,056",454,Provisional
202511,0302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"21,979","1,380",0,0,"21,979","1,380",Provisional
202511,0302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"4,283",291,0,0,"4,283",291,Provisional
202511,0302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,263,15,0,0,263,15,Provisional
202511,0302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"12,605",210,0,0,"12,605",210,Provisional
202511,0302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"279,173","23,749",0,0,"279,173","23,749",Provisional
202511,0302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"130,758","11,956",0,0,"130,758","11,956",Provisional
202511,0302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"57,212","5,954",0,0,"57,212","5,954",Provisional
202511,0302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"3,003,284","213,735",0,0,"3,003,284","213,735",Provisional
202511,0302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"323,199","23,911",0,0,"323,199","23,911",Provisional
202511,0302891015,"Fish; fresh or chilled, groper, whole",KGM,"489,356","25,013",0,0,"489,356","25,013",Provisional
202511,0302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"10,634",892,0,0,"10,634",892,Provisional
202511,0302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"443,656","26,298",0,0,"443,656","26,298",Provisional
202511,0302891029,"Fish; fresh or chilled, leatherjacket, whole",KGM,973,100,0,0,973,100,Provisional
202511,0302891039,"Fish; fresh or chilled, mullet, whole",KGM,"6,161",437,0,0,"6,161",437,Provisional
202511,0302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"14,146","1,386",0,0,"14,146","1,386",Provisional
202511,0302891055,"Fish; fresh or chilled, trevally, whole",KGM,"125,538","12,116",0,0,"125,538","12,116",Provisional
202511,0302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"245,595","12,975",0,0,"245,595","12,975",Provisional
202511,0302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"300,693","18,606",0,0,"300,693","18,606",Provisional
202511,0302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"66,748","3,414",0,0,"66,748","3,414",Provisional
202511,0302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"12,881",861,0,0,"12,881",861,Provisional
202511,0302892059,"Fish; fresh or chilled, yellowtail kingfish, headed and gutted",KGM,"41,091","2,625",0,0,"41,091","2,625",Provisional
202511,0302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"555,660","54,037","15,964","1,503","571,624","55,540",Provisional
202511,0302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"50,379","4,898",0,0,"50,379","4,898",Provisional
202511,0302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"68,502","4,445",0,0,"68,502","4,445",Provisional
202511,0302899027,"Fish; fresh or chilled, monkfish, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,091",561,0,0,"5,091",561,Provisional
202511,0302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"186,857","21,373",0,0,"186,857","21,373",Provisional
202511,0302910010,"Fish; fresh or chilled, livers and roes of salmonidae",KGM,"15,180","5,060",0,0,"15,180","5,060",Provisional
202511,0303120010,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), whole",KGM,824,16,0,0,824,16,Provisional
202511,0303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"52,211","12,891",0,0,"52,211","12,891",Provisional
202511,0303130010,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), whole",KGM,0,0,"3,518",77,"3,518",77,Provisional
202511,0303130029,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"4,375",50,0,0,"4,375",50,Provisional
202511,0303290010,"Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), whole",KGM,"86,225","19,125",0,0,"86,225","19,125",Provisional
202511,0303340010,"Fish; frozen, turbots (Psetta maxima, Scophthalmidae), whole",KGM,600,60,0,0,600,60,Provisional
202511,0303390002,"Fish; frozen, flounder, whole",KGM,"17,444","1,220",0,0,"17,444","1,220",Provisional
202511,0303390012,"Fish; frozen, lemon sole, whole",KGM,"1,886",220,0,0,"1,886",220,Provisional
202511,0303390021,"Fish; frozen, New Zealand sole, whole",KGM,"90,574","14,420",0,0,"90,574","14,420",Provisional
202511,0303390051,"Fish; frozen, New Zealand sole, headed and gutted",KGM,738,100,0,0,738,100,Provisional
202511,0303390082,"Fish; frozen, New Zealand sole, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"3,210",300,0,0,"3,210",300,Provisional
202511,0303490015,"Fish; frozen, tuna, n.e.c. in item no. 0303.4, headed and gutted",KGM,"72,726","22,000",0,0,"72,726","22,000",Provisional
202511,0303540010,"Fish; frozen, blue mackerel (Scomber australasicus), whole",KGM,"1,106,801","546,420",0,0,"1,106,801","546,420",Provisional
202511,0303540019,"Fish; frozen, blue mackerel (Scomber australasicus), headed and gutted",KGM,"123,007","26,260",0,0,"123,007","26,260",Provisional
202511,0303540031,"Fish; frozen, blue mackerel (Scomber australasicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"404,817","79,400",0,0,"404,817","79,400",Provisional
202511,0303550010,"Fish; frozen, jack mackerel (Trachurus spp.), whole",KGM,"14,850,517","5,743,760",0,0,"14,850,517","5,743,760",Provisional
202511,0303550019,"Fish; frozen, jack mackerel (Trachurus spp.), headed and gutted",KGM,"285,705","61,712",0,0,"285,705","61,712",Provisional
202511,0303590010,"Fish; frozen, n.e.c. in item no. 0303.5, whole",KGM,0,0,"1,680",320,"1,680",320,Provisional
202511,0303660015,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"355,269","33,085",0,0,"355,269","33,085",Provisional
202511,0303660029,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"50,227","4,679",0,0,"50,227","4,679",Provisional
202511,0303680010,"Fish; frozen, southern blue whitings (Micromesistius australis), whole",KGM,324,52,0,0,324,52,Provisional
202511,0303680015,"Fish; frozen, southern blue whitings (Micromesistius australis), headed and gutted",KGM,"4,852,963","1,775,305",0,0,"4,852,963","1,775,305",Provisional
202511,0303680020,"Fish; frozen, southern blue whitings (Micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"3,176,960","1,084,910",0,0,"3,176,960","1,084,910",Provisional
202511,0303690015,"Fish; frozen, n.e.c. in item no. 0303.6, whole",KGM,"15,548","4,185",0,0,"15,548","4,185",Provisional
